Type,Subpopulation,Response,Stressor,NResp,Estimate,Estimate.num,Estimate.denom,StdError.log,LCB95Pct,UCB95Pct,WeightTotal,CellCounts.11,CellCounts.12,CellCounts.21,CellCounts.22,CellProportions.11,CellProportions.12,CellProportions.21,CellProportions.22
Whole_Miss_Basin,Yes,Fish_MMI,Acidification,741,2.610668294,1,0.383043684,0.066311811,2.292487512,2.97301028,498515.5916,1,349,0,391,0.001073845,0.382632354,0,0.616293801
Whole_Miss_Basin,Yes,Fish_MMI,Streambed_Sediment,717,1.517894465,0.499478871,0.329060341,0.151809759,1.12725164,2.043912402,488675.0623,103,224,53,337,0.111149544,0.255834207,0.111381479,0.52163477
Whole_Miss_Basin,Yes,Fish_MMI,Instream_Habitat,737,2.303516042,0.740369887,0.321408609,0.108971654,1.860520249,2.851990542,497063.4536,67,277,37,356,0.098055449,0.278840879,0.034385714,0.588717958
Whole_Miss_Basin,Yes,Fish_MMI,Total_Nitrogen,743,1.210253447,0.417481164,0.344953501,0.138114784,0.92323617,1.586499157,501005.5861,223,127,167,226,0.212089802,0.16970938,0.295932644,0.322268174
Whole_Miss_Basin,Yes,Fish_MMI,Total_Phosphorus,743,1.906602429,0.462226482,0.242434645,0.1705293,1.364914157,2.663268458,501005.5861,264,86,216,177,0.293086315,0.088712867,0.340988811,0.277212007
Whole_Miss_Basin,Yes,Fish_MMI,Riparian_Disturbance,737,1.269871641,0.444110271,0.349728474,0.141379749,0.962536405,1.675338176,497063.4536,99,245,105,288,0.127837395,0.249058933,0.160013175,0.463090497
Whole_Miss_Basin,Yes,Fish_MMI,Riparian_Vegetation,737,1.398915441,0.474004938,0.338837448,0.138584534,1.066174018,1.835501877,497063.4536,88,256,71,322,0.133464764,0.243431564,0.148103535,0.475000137
Whole_Miss_Basin,Yes,Fish_MMI,Salinity,743,1.793458327,0.664646906,0.370595121,0.1561828,1.320529931,2.435759081,501005.5861,43,307,23,370,0.025324602,0.35647458,0.012777737,0.605423081
Whole_Miss_Basin,Yes,MacroInvert_MMI,Acidification,841,2.145648317,1,0.466059602,0.054730936,1.927398353,2.388611931,552962.2201,2,368,0,471,0.003019615,0.464652281,0,0.532328104
Whole_Miss_Basin,Yes,MacroInvert_MMI,Streambed_Sediment,814,1.261486624,0.551255917,0.43698911,0.12743732,0.982670246,1.619412523,542412.554,100,253,81,380,0.12091192,0.341140357,0.098427077,0.439520646
Whole_Miss_Basin,Yes,MacroInvert_MMI,Instream_Habitat,837,1.876233235,0.781695167,0.416630061,0.091623826,1.56782102,2.245314425,551510.0821,82,286,38,431,0.111963678,0.356955349,0.031268214,0.499812759
Whole_Miss_Basin,Yes,MacroInvert_MMI,Total_Nitrogen,843,1.502108024,0.559176967,0.372261487,0.12140921,1.184015694,1.905657608,555452.2146,232,139,216,256,0.283617188,0.18344871,0.223587516,0.309346586
Whole_Miss_Basin,Yes,MacroInvert_MMI,Total_Phosphorus,843,1.544523952,0.535352742,0.346613428,0.13945275,1.175147149,2.030004701,555452.2146,268,103,275,197,0.341659397,0.125406501,0.296535517,0.236398585
Whole_Miss_Basin,Yes,MacroInvert_MMI,Riparian_Disturbance,837,1.221974515,0.540666254,0.442452971,0.117152052,0.971274845,1.537383288,551510.0821,114,254,117,352,0.145696215,0.323222812,0.123779111,0.407301862
Whole_Miss_Basin,Yes,MacroInvert_MMI,Riparian_Vegetation,837,1.351337093,0.580429828,0.429522604,0.110778883,1.087598354,1.679031541,551510.0821,100,268,75,394,0.151529254,0.317389773,0.10953461,0.421546362
Whole_Miss_Basin,Yes,MacroInvert_MMI,Salinity,843,1.524692058,0.696653359,0.456914139,0.119445285,1.206452221,1.926877693,555452.2146,56,315,30,442,0.029499791,0.437566107,0.012845216,0.520088886
